experiment,model,variant,context_len,bytes_or_ops,measured_ms,throughput_mbps,output_dir
context_length_sensitivity,3B,with_shadow_kv,1024,0,45.65858840942383,0.0,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/context_length_sensitivity/3B/state_microbench
context_length_sensitivity,3B,without_shadow_trans,1024,9437184,988.893985748291,76.34536470850458,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/context_length_sensitivity/3B/state_microbench
context_length_sensitivity,3B,without_shadow_recompute,1024,9437184,724.1930961608887,104.25047187031907,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/context_length_sensitivity/3B/state_microbench
context_length_sensitivity,3B,with_shadow_kv,2048,0,51.216840744018555,0.0,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/context_length_sensitivity/3B/state_microbench
context_length_sensitivity,3B,without_shadow_trans,2048,18874368,2747.807264328003,54.95106806078226,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/context_length_sensitivity/3B/state_microbench
context_length_sensitivity,3B,without_shadow_recompute,2048,18874368,867.7985668182373,173.99768768185382,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/context_length_sensitivity/3B/state_microbench
context_length_sensitivity,3B,with_shadow_kv,4096,0,52.69503593444824,0.0,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/context_length_sensitivity/3B/state_microbench
context_length_sensitivity,3B,without_shadow_trans,4096,37748736,3297.1534729003906,91.59109228068479,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/context_length_sensitivity/3B/state_microbench
context_length_sensitivity,3B,without_shadow_recompute,4096,37748736,1099.4877815246582,274.66416005208447,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/context_length_sensitivity/3B/state_microbench
context_length_sensitivity,3B,with_shadow_kv,8192,0,57.06071853637695,0.0,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/context_length_sensitivity/3B/state_microbench
context_length_sensitivity,3B,without_shadow_trans,8192,75497472,6524.068355560303,92.57716858304265,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/context_length_sensitivity/3B/state_microbench
context_length_sensitivity,3B,without_shadow_recompute,8192,75497472,1768.268346786499,341.5656775724237,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/context_length_sensitivity/3B/state_microbench
context_length_sensitivity,3B,with_shadow_kv,16384,0,52.05225944519043,0.0,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/context_length_sensitivity/3B/state_microbench
context_length_sensitivity,3B,without_shadow_trans,16384,150994944,12704.807996749878,95.07893014274738,/home/cc/yhbian/B01/edgevisor_ablation_results/run_20260525_084241/context_length_sensitivity/3B/state_microbench
